0000000000000000238 core-0   :00010960 (53c7a983) lw          s3, 1340(a5)       
0000000000000000239 core-0   :00010964 (01412c23) sw          s4, 24(sp)         
0000000000000000240 core-0   :00010968 (01512a23) sw          s5, 20(sp)         
0000000000000000241 core-0   :0001096c (01612823) sw          s6, 16(sp)         
0000000000000000242 core-0   :00010970 (02112623) sw          ra, 44(sp)         
0000000000000000243 core-0   :00010974 (02812423) sw          s0, 40(sp)         
0000000000000000244 core-0   :00010978 (02912223) sw          s1, 36(sp)         
0000000000000000245 core-0   :0001097c (03212023) sw          s2, 32(sp)         
0000000000000000246 core-0   :00010980 (01712623) sw          s7, 12(sp)         
0000000000000000247 core-0   :00010984 (00050a93) mv          s5, a0             
0000000000000000248 core-0   :00010988 (00058a13) mv          s4, a1             
0000000000000000249 core-0   :0001098c (00100b13) addi        s6, zero, 1        
0000000000000000250 core-0   :00010990 (1489a483) lw          s1, 328(s3)        
0000000000000000251 core-0   :00010994 (00048c63) beqz        s1, pc + 24        
0000000000000000252 core-0   :00010998 (0044a403) lw          s0, 4(s1)          
0000000000000000253 core-0   :0001099c (fff40913) addi        s2, s0, -1         
0000000000000000254 core-0   :000109a0 (00241413) slli        s0, s0, 2          
0000000000000000255 core-0   :000109a4 (00848433) add         s0, s1, s0         
0000000000000000256 core-0   :000109a8 (02095863) bgez        s2, pc + 48        
0000000000000000257 core-0   :000109d8 (000a0c63) beqz        s4, pc + 24        
0000000000000000258 core-0   :000109f0 (0044a703) lw          a4, 4(s1)          
0000000000000000259 core-0   :000109f4 (00442783) lw          a5, 4(s0)          
0000000000000000260 core-0   :000109f8 (fff70713) addi        a4, a4, -1         
0000000000000000261 core-0   :000109fc (03271c63) bne         a4, s2, pc + 56    
0000000000000000262 core-0   :00010a00 (0124a223) sw          s2, 4(s1)          
0000000000000000263 core-0   :00010a04 (fe0780e3) beqz        a5, pc - 32        
0000000000000000264 core-0   :00010a08 (1884a683) lw          a3, 392(s1)        
0000000000000000265 core-0   :00010a0c (012b1733) sll         a4, s6, s2         
0000000000000000266 core-0   :00010a10 (0044ab83) lw          s7, 4(s1)          
0000000000000000267 core-0   :00010a14 (00d776b3) and         a3, a4, a3         
0000000000000000268 core-0   :00010a18 (02069263) bnez        a3, pc + 36        
0000000000000000269 core-0   :00010a1c (000780e7) jalr        ra, a5, 0          
0000000000000000270 core-0   :000106e8 (ff010113) addi        sp, sp, -16        
0000000000000000271 core-0   :000106ec (000127b7) lui         a5, 73728          
0000000000000000272 core-0   :000106f0 (00012737) lui         a4, 73728          
0000000000000000273 core-0   :000106f4 (00812423) sw          s0, 8(sp)          
0000000000000000274 core-0   :000106f8 (10c70713) addi        a4, a4, 268        
0000000000000000275 core-0   :000106fc (11078413) addi        s0, a5, 272        
0000000000000000276 core-0   :00010700 (40e40433) sub         s0, s0, a4         
0000000000000000277 core-0   :00010704 (00912223) sw          s1, 4(sp)          
0000000000000000278 core-0   :00010708 (01212023) sw          s2, 0(sp)          
0000000000000000279 core-0   :0001070c (00112623) sw          ra, 12(sp)         
0000000000000000280 core-0   :00010710 (40245413) srai        s0, s0, 2          
0000000000000000281 core-0   :00010714 (00000493) mv          s1, zero           
0000000000000000282 core-0   :00010718 (11078913) addi        s2, a5, 272        
0000000000000000283 core-0   :0001071c (00941e63) bne         s0, s1, pc + 28    
0000000000000000284 core-0   :00010738 (ffc00593) addi        a1, zero, -4       
0000000000000000285 core-0   :0001073c (00048513) mv          a0, s1             
0000000000000000286 core-0   :00010740 (099000ef) jal         ra, pc + 2200      
0000000000000000287 core-0   :00010fd8 (00050613) mv          a2, a0             
0000000000000000288 core-0   :00010fdc (00000513) mv          a0, zero           
0000000000000000289 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000290 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000291 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000292 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000293 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000294 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000295 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000296 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000297 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000298 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000299 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000300 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000301 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000302 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000303 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000304 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000305 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000306 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000307 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000308 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000309 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000310 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000311 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000312 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000313 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000314 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000315 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000316 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000317 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000318 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000319 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000320 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000321 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000322 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000323 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000324 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000325 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000326 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000327 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000328 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000329 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000330 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000331 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000332 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000333 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000334 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000335 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000336 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000337 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000338 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000339 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000340 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000341 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000342 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000343 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000344 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000345 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000346 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000347 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000348 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000349 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000350 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000351 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000352 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000353 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000354 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000355 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000356 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000357 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000358 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000359 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000360 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000361 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000362 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000363 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000364 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000365 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000366 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000367 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000368 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000369 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000370 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000371 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000372 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000373 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000374 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000375 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000376 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
0000000000000000377 core-0   :00010fe0 (0015f693) andi        a3, a1, 1          
0000000000000000378 core-0   :00010fe4 (00068463) beqz        a3, pc + 8         
0000000000000000379 core-0   :00010fe8 (00c50533) add         a0, a0, a2         
0000000000000000380 core-0   :00010fec (0015d593) srli        a1, a1, 1          
0000000000000000381 core-0   :00010ff0 (00161613) slli        a2, a2, 1          
0000000000000000382 core-0   :00010ff4 (fe0596e3) bnez        a1, pc - 20        
